DATA;I
27/06/2022;0
28/06/2022;0
29/06/2022;1
30/06/2022;1
01/07/2022;1
02/07/2022;2
03/07/2022;3
04/07/2022;3
05/07/2022;3
06/07/2022;8
07/07/2022;12
08/07/2022;14
09/07/2022;14
10/07/2022;14
11/07/2022;14
12/07/2022;14
13/07/2022;14
14/07/2022;22
15/07/2022;22
16/07/2022;22
17/07/2022;22
18/07/2022;22
19/07/2022;33
20/07/2022;32
21/07/2022;33
22/07/2022;33
23/07/2022;33
24/07/2022;33
25/07/2022;42
26/07/2022;44
27/07/2022;44
28/07/2022;44
29/07/2022;49
30/07/2022;63
31/07/2022;63
01/08/2022;63
02/08/2022;74
03/08/2022;75
04/08/2022;75
05/08/2022;81
06/08/2022;81
07/08/2022;81
08/08/2022;101
09/08/2022;102
10/08/2022;102
11/08/2022;102
12/08/2022;133
13/08/2022;133
