DATA;I
27/06/2022;14
28/06/2022;14
29/06/2022;28
30/06/2022;36
01/07/2022;45
02/07/2022;52
03/07/2022;52
04/07/2022;52
05/07/2022;75
06/07/2022;98
07/07/2022;121
08/07/2022;145
09/07/2022;145
10/07/2022;145
11/07/2022;145
12/07/2022;145
13/07/2022;145
14/07/2022;217
15/07/2022;217
16/07/2022;217
17/07/2022;217
18/07/2022;217
19/07/2022;312
20/07/2022;429
21/07/2022;438
22/07/2022;506
23/07/2022;506
24/07/2022;506
25/07/2022;595
26/07/2022;637
27/07/2022;744
28/07/2022;823
29/07/2022;970
30/07/2022;1031
31/07/2022;1031
01/08/2022;1099
02/08/2022;1199
03/08/2022;1303
04/08/2022;1404
05/08/2022;1501
06/08/2022;1501
07/08/2022;1578
08/08/2022;1636
09/08/2022;1732
10/08/2022;1748
11/08/2022;1748
12/08/2022;1919
13/08/2022;2019
