"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4,10,5.7882357218312,2.36303733823945,2.1241804956251,2.52079088067146,4.07029641149317,5.47003825684068,7.1607246528099,10.1419873672727,11.2565094259541
"4",5,11,4.83136994166206,1.82608619391292,1.9424612931482,2.26751078324151,3.5080279690615,4.60335486911066,5.90701703351001,8.17357062748183,9.01359289233046
"5",6,12,5.19832262072664,1.64385394938718,2.49279775342821,2.82030091618089,4.01616519591886,5.02610978950188,6.19320152734977,8.16407817904903,8.88123202521809
"6",7,13,4.65084823622116,1.34258424057119,2.40316115066313,2.68362179633565,3.68914051455964,4.52231551582719,5.47272094937865,7.05669879498224,7.62818117540228
"7",8,14,4.07279715966552,1.0885008269496,2.22663610639964,2.46227862143203,3.29564283076809,3.97624702272819,4.74488056119275,6.01277781613695,6.46713523955124
"8",9,15,3.62437160954249,0.906092902385623,2.07164153271165,2.2733772909407,2.97924554107648,3.54914993879597,4.18761958562726,5.23203633528548,5.60423418073005
"9",10,16,3.27296079214207,0.771444256893784,1.93976399484118,2.11547902795896,2.72501615429594,3.21255401274232,3.75514206151544,4.63655446061084,4.9491979913125
"10",11,17,2.99357682783931,0.669384128291689,1.82855449738552,1.98394089429468,2.51911697249209,2.94383442119711,3.41387603370169,4.17293228812087,4.4410989857056
"11",12,18,3.39697293179715,0.65374774553432,2.23862656698024,2.39777335223556,2.93621292179258,3.35512828767868,3.81215725528918,4.53893559743493,4.79300602294327
"12",13,19,3.33077252622185,0.588802959970329,2.27824594225691,2.42495359663627,2.91702860873352,3.29614196505819,3.70679282168931,4.35473843134851,4.58002305138544
"13",14,20,3.15033090837469,0.517911211013566,2.21812368966586,2.34951811468821,2.78728894053238,3.12199545402205,3.48250348460118,4.04781193596912,4.24351059030595
"14",15,21,2.96058654537104,0.456828421803449,2.13373037241008,2.25132381186726,2.64101391634533,2.93712326785854,3.25459569027737,3.74989443475602,3.92074209120605
"15",16,22,2.78108820170312,0.40566340689632,2.04343900424303,2.14912341663594,2.49780003360421,2.7613892341854,3.04291284014511,3.480255288711,3.63065465340162
"16",17,23,2.82041591586842,0.376893930192281,2.130511872574,2.23040460634488,2.5578937742444,2.80364560717093,3.06466403334183,3.46763750284492,3.60560258168162
"17",18,24,3.13599388176609,0.367040321521949,2.45811860084233,2.55765640038321,2.88124968741527,3.12168595744089,3.37514568214307,3.76314040421918,3.89516576453463
"18",19,25,3.05470422205078,0.331329192695029,2.43998923684004,2.53089844791353,2.82518127293929,3.04273337724951,3.27118106405593,3.61934608014594,3.73743836995192
"19",20,26,3.10882485932117,0.304845358115788,2.5401351895681,2.62495909843187,2.89814261663402,3.09886637462401,3.30865355798984,3.62666157150894,3.7341008736238
"20",21,27,3.06042456545317,0.275949189985939,2.54351202614566,2.62110774825719,2.87005726424765,3.05213473963579,3.24175664060184,3.52801989174421,3.62444264568005
"21",22,28,2.94117519893291,0.246817939842905,2.47732734784329,2.54730755890499,2.77115123094805,2.93427392044977,3.10367714886499,3.35858455981169,3.44423894669701
"22",23,29,2.81509551612773,0.221174792126862,2.39828685520386,2.46143897478558,2.66292725583004,2.80930526213968,2.960952584603,3.18850374966147,3.26480714003238
"23",24,30,2.62088189563497,0.196443403389396,2.24998975359888,2.30634600175064,2.48584426596432,2.6159755144205,2.75057165627929,2.95215437012402,3.01965461376733
"24",25,31,2.3525810992723,0.172499615531024,2.02662259473627,2.07621502415927,2.23404861606298,2.34836634999028,2.46651955378174,2.64332445156421,2.70249004577378
"25",26,32,2.15109929984275,0.154439929231901,1.85903762052315,1.90352637688047,2.04501507558822,2.14740438405624,2.25315608684396,2.41127623878848,2.46415751044088
"26",27,33,2.03175584725751,0.141903983733163,1.76313200641817,1.80411340168884,1.93432798732544,2.02845313590451,2.12558374697259,2.27066441345141,2.31914756526324
"27",28,34,1.93776076097428,0.131847919665951,1.6879426407296,1.72610889378213,1.84727624207894,1.93477121122049,2.0249866470941,2.15961048717814,2.20456725028944
"28",29,35,1.85939081818468,0.123412103140412,1.62535675751438,1.661158290811,1.77472961251342,1.85666114911597,1.94107664727635,2.06693469683348,2.10893649811669
"29",30,36,2.01910878345019,0.123336699084523,1.78458629678571,1.82061055932808,1.93460747749124,2.01659801017094,2.10087326859091,2.22617163926968,2.26789911394779
"30",31,37,2.14723654344362,0.121563331250862,1.9155607122648,1.95127102398913,2.06404103405855,2.14494292353562,2.22793190481007,2.35102592986932,2.39194629894709
