"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4,10,5.81150069325574,1.23901611090325,3.64203654409434,3.93431690240383,4.9349059365152,5.7236887830151,6.59247332510299,7.98828896140841,8.47970086000634
"4",5,11,6.14344663014004,1.06943678886371,4.22886598210065,4.49638653473096,5.3923636202436,6.08150428403104,6.82705331995116,8.0018306201535,8.40990410290116
"5",6,12,5.88564423701647,0.867790899537505,4.30903130576556,4.53460556364556,5.27943918617623,5.84305002109352,6.4454401495202,7.38199185659786,7.70424951339746
"6",7,13,5.11564931713237,0.671717663593927,3.88452700276428,4.06313811571891,4.64800190746744,5.08627926166679,5.55129272529437,6.26835328743187,6.51364262015028
"7",8,14,4.35679650121381,0.524496663519719,3.38984773177118,3.5314350713967,3.99250332536629,4.33576734695535,4.69817309928097,5.25389559572271,5.44323020714662
"8",9,15,3.79559792451156,0.424360748723248,3.00967309598628,3.12558134310949,3.50141057565337,3.7797947014873,4.0725628517544,4.51952416831048,4.67131690956365
"9",10,16,3.38009643870538,0.354330384335261,2.72144280488354,2.81914248946418,3.1348395057101,3.36772322816138,3.6118685084202,3.98325889045486,4.10905620053461
"10",11,17,2.91208814935985,0.295677753498358,2.36150731568918,2.44339731535135,2.70758062948573,2.90208711020544,3.10569592558015,3.41489522160224,3.51949662921434
"11",12,18,2.68404921879933,0.259476831820783,2.19964310811387,2.2719770306942,2.50477822960675,2.67569234138634,2.85421216394431,3.12462882418636,3.21594114509653
"12",13,19,2.46945133377887,0.230277524246425,2.03878533997947,2.10327340536484,2.31047849574968,2.46229720395899,2.62062686527995,2.86003372170799,2.94076917446941
"13",14,20,2.29888760646589,0.207283714826358,1.91060035911631,1.96888764575314,2.15589011704633,2.29266056919581,2.43509813912194,2.65012942846214,2.72255894576069
"14",15,21,2.16401961823621,0.189071271914705,1.80933217511826,1.86269562959757,2.03367058906358,2.15851570482473,2.28836976534922,2.48411867744052,2.54998232108716
"15",16,22,2.05440734625655,0.174252556814801,1.72708544765511,1.77643256406854,1.93434583371945,2.04948281580586,2.16910140787989,2.3491807568244,2.4097123938795
"16",17,23,2.1103592130531,0.167891164417175,1.79412614369009,1.8420021024514,1.99482320844259,2.10590865213588,2.22104426643885,2.39389807228904,2.45188242525382
"17",18,24,2.12433468204262,0.160127751578962,1.82207386654217,1.86798632184842,2.01424979807512,2.12031267838087,2.23003565955309,2.39440285075302,2.44945056798297
"18",19,25,2.03223640549057,0.148611844264249,1.75138834693427,1.79412413420812,1.9301230868141,2.02861503090377,2.13040246443763,2.28270184298853,2.33366304363129
"19",20,26,1.94678745575972,0.138352160053363,1.68505150716388,1.72494371240467,1.85177039322953,1.94351101850632,2.03823321145996,2.17980770423358,2.22714193645782
"20",21,27,1.87457983434345,0.129667398508704,1.62903534293592,1.66651548283374,1.78556763696436,1.87159092303161,1.96033410681078,2.09283987523344,2.13710903340897
"21",22,28,1.81240243595378,0.122192147304808,1.58080592616241,1.6162055648616,1.72855699320886,1.80965711256546,1.89325544862337,2.01796406459649,2.05959949451684
"22",23,29,1.82669942822613,0.11791294106744,1.60288557798269,1.63717240054051,1.7458462232435,1.82416297308033,1.90478784683363,2.02487871192618,2.06492698378469
"23",24,30,1.76701398096761,0.111532933498232,1.5551557449102,1.5876472149392,1.69056201918802,1.76466790368352,1.84090866096561,1.95438358595581,1.99220410857255
"24",25,31,1.71674568825349,0.105859074089379,1.51551577428826,1.54641220569156,1.64420859184219,1.71457032914915,1.78691157968886,1.89449965618922,1.93033739383326
"25",26,32,1.66718687978711,0.10071844277896,1.47560707871672,1.50505040432619,1.5981932382453,1.6651591111388,1.73397018628058,1.83624038133764,1.87028979073366
"26",27,33,1.65227934594437,0.0970251840225067,1.46756605157574,1.49599126688298,1.58584301423849,1.65038056285213,1.7166459312764,1.8150444550539,1.84778279729881
"27",28,34,1.71157340639027,0.095679862129238,1.52916057291358,1.55729297370042,1.64610345470955,1.70979084796669,1.77510028618719,1.87193439938894,1.90411597195823
"28",29,35,1.75171507900454,0.093633109498295,1.57298296521414,1.60059971904329,1.68768420202435,1.75004706168751,1.81392772773772,1.90852027536138,1.93992605512149
"29",30,36,1.7289156471517,0.0897608279808096,1.55744225809544,1.58396866383563,1.66755605764275,1.72736251218467,1.78858222985729,1.879160582927,1.90921507328613
"30",31,37,1.7399573464125,0.0868893234638585,1.5738036465307,1.59954611377523,1.68058977343836,1.73851121176277,1.79774854159366,1.88530153386038,1.91432905110952
