"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4,10,3.94896615563837,0.360489640377932,3.27408539213435,3.37530280816389,3.70021325271957,3.93800223866162,4.1857693514135,4.56002999373602,4.6861473722187
"4",5,11,3.63930427912207,0.305403630820861,3.06535565139514,3.15194664456791,3.42892274371911,3.63076488564282,3.84037834025521,4.15579159131718,4.26177724522532
"5",6,12,3.29476668070805,0.258861318039573,2.80693694975401,2.88084971691303,3.11667009001767,3.28798981086354,3.46547669981927,3.73180087691939,3.82110579278418
"6",7,13,2.96044937784876,0.22127437553198,2.5426303971626,2.60612759261533,2.8083501953427,2.95493826555917,3.10654154065296,3.3335705910123,3.40958533943641
"7",8,14,2.70418781991936,0.193156272851383,2.3388407249043,2.39450887881903,2.57152110563635,2.69959025409684,2.83184320728829,3.02954987280039,3.09566081457955
"8",9,15,2.48260691348052,0.170909708248976,2.15890950904199,2.20833171366299,2.36529253371092,2.47868604702318,2.59564752903066,2.77025685845574,2.82858494183673
"9",10,16,2.28965249844806,0.152983842570779,1.99960538085302,2.04396019410551,2.18469376714293,2.28624618031912,2.39089830163721,2.54696431913619,2.59905634721805
"10",11,17,2.06785197154312,0.136647504578343,1.80868033310533,1.84833630322717,1.97411778530023,2.06484277793078,2.15830609264839,2.29763249339298,2.34412366394437
"11",12,18,1.98174512552442,0.126868231347186,1.74086771691179,1.77778384455692,1.89476242572802,1.97903848193565,2.06577752540188,2.19493919935616,2.23800336866061
"12",13,19,1.89253835874813,0.118283647421758,1.66778613648222,1.70227169159293,1.81147118651369,1.89007468733382,1.97092006377102,2.09120899356132,2.13129073042629
"13",14,20,1.81619229753185,0.110941601916834,1.60523886234832,1.637642756923,1.74018320764429,1.81393385205927,1.88973961174366,2.00244574109406,2.03997968613309
"14",15,21,1.75207768330388,0.104706668643056,1.55284585350174,1.5834806424898,1.68036341207683,1.74999231855439,1.82151883361797,1.92778821634869,1.96315993350865
"15",16,22,1.69742748313492,0.0993344299541755,1.50829858168095,1.5374078426365,1.62941327967373,1.69549017426295,1.76332994446556,1.86405557000606,1.89756547414801
"16",17,23,1.79141906881083,0.0986143741458563,1.60333034215975,1.63235717946883,1.7239552816336,1.78960987990031,1.85691075121452,1.95665235580773,1.98978887276789
"17",18,24,1.92916733496993,0.098704787599515,1.74053630414577,1.76973378928159,1.86170630019042,1.92748420427256,1.99479365672664,2.09434226374169,2.12736314210929
"18",19,25,1.96321612791687,0.0954548346023746,1.78056202944737,1.80888940432006,1.89801741606668,1.9616692872092,2.02672868086289,2.1228193243346,2.15466053181605
"19",20,26,2.03320787957284,0.0928028183116078,1.85536232724063,1.8830066282876,1.96986757114416,2.03179610410388,2.09500924894978,2.18822487174375,2.21907622418204
"20",21,27,2.06639475385296,0.0891715155097598,1.89529452874685,1.92194068456672,2.0055708118904,2.06511221718809,2.12582062925592,2.21522370944556,2.24478335751596
"21",22,28,2.06740325072116,0.0848265828622623,1.90446689684852,1.92988247686001,2.0095738310809,2.0662432075823,2.12396812610926,2.20888106711831,2.23693189383863
"22",23,29,2.06952439646775,0.0806784607170374,1.9143972322161,1.93863212332915,2.01455127028181,2.06847609965298,2.1233547868403,2.20399252935036,2.23060883067524
"23",24,30,1.99526025030201,0.0753062452852853,1.85037293407211,1.87302928265487,1.94396377372625,1.99431291329678,2.04552404382082,2.12072269069493,2.14553110772226
"24",25,31,1.89318252605635,0.0698786421449206,1.75868199250658,1.77972730947985,1.84559320458652,1.89232283958745,1.93983471011022,2.00957022862627,2.03256850283027
"25",26,32,1.82272516108792,0.0656013140118519,1.6963996174968,1.71617946689851,1.77805924135333,1.82193820721,1.86653322726946,1.93195524139343,1.95352282549509
"26",27,33,1.76184266350932,0.0619430893452103,1.64251213188031,1.66120840053006,1.71967643459181,1.76111678235964,1.80321761276967,1.86495298605922,1.8852982534471
"27",28,34,1.7153019427973,0.0588690102769069,1.60184616971436,1.6196331836799,1.67523685955028,1.71462853009014,1.75463294098196,1.81326778522559,1.83258460783206
"28",29,35,1.7250230842079,0.0569963670129494,1.61510650591776,1.6323551820244,1.6862451235034,1.72439538717663,1.76311679297142,1.8198321276482,1.83850676378641
"29",30,36,1.74464782458368,0.0553647252448217,1.63780851935199,1.65459068976972,1.70699253307669,1.74406221072971,1.7816647377052,1.83670254958837,1.85481508273843
"30",31,37,1.74733584442624,0.053467608532531,1.64409938048399,1.6603293664999,1.71098139666953,1.74679051394614,1.78309582576025,1.83620250105327,1.85367133988308
