"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4,10,3.76238124736583,0.18558458076924,3.40738868440951,3.46241397822592,3.63559885375562,3.7593302836241,3.88583789368938,4.07275575039026,4.13471165226635
"4",5,11,3.57178713723473,0.160377976889598,3.26432729169482,3.31214580668287,3.46234534088637,3.56938702964987,3.67861263570997,3.8396155290082,3.89288624865096
"5",6,12,3.42864710861626,0.140442857778688,3.15887276261002,3.20095562834839,3.33290367696472,3.4267297115272,3.52230041645216,3.66287905394376,3.70931763312539
"6",7,13,3.20168689895418,0.121974556573427,2.96705242289327,3.00373293996717,3.11859384445451,3.20013807873961,3.28309160034456,3.40492405809275,3.44512303117303
"7",8,14,2.97884098413771,0.106523136115352,2.77369051179978,2.80581821259823,2.9063169029022,2.97757132721323,3.04998101967428,3.15619469453264,3.1912066955266
"8",9,15,2.7805079607,0.0939983253316846,2.59930264012881,2.62772202150227,2.71654292876307,2.77944879133901,2.84331839451177,2.93690684006762,2.96773236652879
"9",10,16,2.54592317942833,0.0828188872175155,2.38616773981226,2.41124697366038,2.48958399423884,2.54502520289659,2.60128348047409,2.68366247800964,2.71078167743288
"10",11,17,2.30661536224881,0.0732351109865474,2.1652920514858,2.18749065655483,2.25680565556281,2.30584033620013,2.35558021210222,2.42838376298195,2.45234302607418
"11",12,18,2.2273842414155,0.0675275036484734,2.09698234726246,2.11748738058328,2.1814733154384,2.22670186920855,2.27255131106236,2.3396087442524,2.36166395555397
"12",13,19,2.11508482029637,0.0621010286233325,1.99510512851816,2.01398477392598,2.0728736214543,2.11447706836074,2.15663350573448,2.2182579706129,2.23851827862423
"13",14,20,2.01655416163488,0.0574519186804983,1.90550871014329,1.92299382571454,1.97751178091878,2.0160085834053,2.05500180410526,2.11197552015121,2.13070005745224
"14",15,21,1.93376816450738,0.0535507565124329,1.83022217516771,1.84653611006302,1.89738434709381,1.93327386996205,1.96961314777045,2.02268630731469,2.04012316180213
"15",16,22,1.86307215433277,0.0502250592699516,1.76592147900207,1.78123617027302,1.82895435644469,1.86262084815608,1.89669797954372,1.94644758878978,1.96278754193036
"16",17,23,1.92017365503409,0.0488829654057659,1.82554887225473,1.8404820063769,1.88698039309061,1.9197588570447,1.95291474134415,2.00128022044153,2.01715568130993
"17",18,24,2.08735291432045,0.0488344846444424,1.99272576158208,2.00768208989249,2.05421026329259,2.08697209235422,2.12008042634618,2.16832275926188,2.1841442319531
"18",19,25,2.12192871875075,0.0468884433194731,2.03101430400754,2.04539760601184,2.09011751309741,2.12158336274336,2.15336344678218,2.19963787383048,2.21480575112559
"19",20,26,2.17825569262172,0.0450587875520486,2.09082819603851,2.10467425053368,2.14769702620611,2.17794500934544,2.20847567818261,2.2528969047196,2.26744876712563
"20",21,27,2.19391696603047,0.0428127205164353,2.11079966545485,2.12397446741554,2.16489043605798,2.19363848577527,2.22263991984386,2.26480938687548,2.27861683934243
"21",22,28,2.17687902977592,0.0403194887108795,2.09856396479919,2.11098663682562,2.14954996612151,2.1766301064174,2.20393673751539,2.24362052344739,2.25660869956335
"22",23,29,2.19973683567879,0.038333181194846,2.12523987081736,2.13706641126974,2.17376156022548,2.1995141717203,2.22546938084472,2.26316678739861,2.27549917662035
"23",24,30,2.16064643103163,0.0359210831163615,2.09080973148454,2.10190296339262,2.13631074582415,2.16044736976038,2.18476511555782,2.22006891494099,2.23161437543627
"24",25,31,2.10253651875746,0.0335259871755749,2.03733458492324,2.04769676683849,2.07982750317125,2.10235832528035,2.12505128196148,2.15798410491546,2.16875110819155
"25",26,32,2.07640138230125,0.0315987563604229,2.01492566710815,2.02470086791693,2.05500187563895,2.07624109413668,2.0976261554381,2.12864865420243,2.13878799926577
"26",27,33,2.07554879390915,0.0300142960357195,2.0171340239763,2.02642765335724,2.05522637127874,2.07540411782721,2.09571350199262,2.12516343768567,2.13478574392691
"27",28,34,2.08055575722176,0.0285597772069617,2.02495186458691,2.0338030381143,2.06122191237696,2.0804250787139,2.09974714651032,2.12775423251248,2.13690228328537
"28",29,35,2.06433226262322,0.0270315433615379,2.01168746442891,2.02007147311852,2.04603602158952,2.06421427500974,2.08249988267622,2.10899551848977,2.11764757325434
"29",30,36,2.02636365367305,0.0254571512426029,1.97677215762905,1.9846729738037,2.0091354525967,2.02625704883822,2.04347564235716,2.0684179721967,2.07656097500489
"30",31,37,1.99881157926175,0.0240663518425739,1.9519174469916,1.95939137306,1.98252685297248,1.99871499114892,2.01499101258678,2.03856125615856,2.04625461281641
